"","LocationID","Long","Lat","close_class","Jan_temp","Feb_temp","March_temp","April_temp","May_temp","June_temp","July_temp","Aug_temp","Sept_temp","Oct_temp","Nov_temp","Dec_temp","Average_annual_temp"
"69",71,-86,36,"0.1",2.025,4.1,9.05,14.225,18.575,22.85,24.75,24.25,20.85,14.55,9.05,4.2,14.0395833333333
"70",72,-99,32,"0.1",6.025,8.475,13.075,18.125,22,25.725,27.9,27.6,23.925,18.525,12.375,7.35,17.5916666666667
"71",73,-112,39,"0.1",-4.575,-1.95,1.425,5.675,10.55,15.675,19.825,18.675,13.95,8.05,1.275,-3.8,7.06458333333333
"72",74,-73,44,"0.1",-9.175,-8.025,-2.375,4.575,11.4,16.25,18.85,17.525,13.125,7.175,1.175,-6,5.375
"73",75,-78,38,"0.1",1.275,2.925,7.7,13.025,17.9,22.2,24.375,23.6,20.05,13.775,8.5,3.35,13.2229166666667
"74",76,-120,48,"0.1",-5.45,-2.025,2.525,7.275,11.875,15.875,19.475,19.225,14.325,7.7,0.425,-4.55,7.22291666666667
"75",77,-80,38,"0.1",-1.875,-0.2,4.725,9.8,14.825,18.675,20.75,20.15,16.7,10.8,5.375,0.175,9.99166666666667
"76",78,-90,44,"0.1",-10.15,-7.4,-0.7,7.3,13.85,18.8,21.475,19.875,15.05,9.05,1.125,-6.925,6.77916666666667
"77",79,-108,43,"0.1",-7.8,-4.325,0.9,6.5,11.9,17.425,21.675,20.5,14.425,7.925,-0.725,-6.7,6.80833333333333
"78",80,-98,60,"0.1",-30.4,-28.15,-22.55,-11.75,-1.85,6.725,12.4,11.075,4.325,-3.625,-16.175,-25.2,-8.76458333333333
"79",81,-95,40,"0.1",-4.75,-1.6,4.775,11.725,17.55,22.625,25.075,23.5,19,12.95,5.25,-2.175,11.1604166666667
"80",82,-100,45,"0.1",-10.8,-7.525,-1.25,6.975,13.575,19.125,22.875,21.7,15.475,8.725,-0.55,-8.35,6.66458333333333
"81",83,-4.05,51.25,"0.1",4.7,4.8,6.4,9.1,12,15.3,16.9,16.7,14.5,11.1,7.7,5.6,10.4
"82",84,-0.416666666666667,51.7333333333333,"0.1",3,3.4,6,8.5,12,15.1,17.1,16.5,14,10.4,6.3,3.9,9.68333333333333
"83",85,0.883333333333333,51.1,"0.1",3.9,4.2,6.2,8.6,11.8,15.1,17.1,17,14.8,11.2,7.3,4.8,10.1666666666667
"84",86,0.433333333333333,52.2333333333333,"0.1",2.6,3.6,5.8,8.2,11.3,14.6,16.2,15.9,13.7,10.4,6.2,3.8,9.35833333333333
"85",87,-1.8,55.1,"0.1",2.7,2.8,4.9,7,9.7,12.8,14.2,14.1,12.2,9.3,5.7,3.6,8.25
"86",88,-2.93333333333333,56.3333333333333,"0.1",2.15,2.25,4.65,7.15,9.75,13.3,14.4,13.8,11.65,8.65,4.95,3.1,7.98333333333333
"87",89,0.85,51.0833333333333,"0.1",3.9,4.2,6.2,8.6,11.8,15.1,17.1,17,14.8,11.2,7.3,4.8,10.1666666666667
"88",90,-0.35,51.8166666666667,"0.1",3.15,3.5,6.05,8.55,11.95,15.1,17,16.45,14.1,10.5,6.45,4.05,9.7375
"89",91,-2.5,55.1166666666667,"0.1",1.15,1.45,3.65,6.1,9.1,12.3,13.8,13.25,10.95,8.05,4.25,2.15,7.18333333333333
"90",92,-2.53333333333333,57.5333333333333,"0.1",2.9,2.8,4.6,6.5,9.3,12.4,13.9,13.6,11.6,9,5.4,3.9,7.99166666666667
"91",94,-88.3,40.1333333333333,"0.1",-4.1,-1.7,4.2,11,17,22.1,23.9,22.8,19.1,12.6,5.1,-1.4,10.8833333333333
"92",95,-88.65,39.9833333333333,"0.1",-4.15,-1.65,4.45,11.25,17.2,22.3,24,22.9,19.25,12.75,5.4,-1.35,11.0291666666667
"93",96,-71.75,44,"0.1",-9.85,-8.65,-3.05,3.6,10.35,15.25,17.75,16.45,12.05,6.25,0.2,-6.95,4.45
"94",97,-0.333333333333333,51.25,"0.1",3.25,3.8,5.95,8.55,12,15.15,17.15,16.55,13.95,10.55,6.45,4.2,9.79583333333333
"95",98,-0.0833333333333333,50.7666666666667,"0.1",3.6,4.1,5.9,8.4,11.8,14.9,16.7,16.4,14.1,10.8,6.9,4.6,9.85
"96",99,-1.53333333333333,51.4166666666667,"0.1",2.8,3.3,5.6,8.2,11.4,14.6,16.1,15.7,13.5,10.1,6.2,4,9.29166666666667
"97",100,-0.166666666666667,51.8166666666667,"0.1",3.45,3.8,6.25,8.8,12.1,15.3,17.15,16.65,14.4,10.75,6.75,4.35,9.97916666666667
"98",101,-2.86666666666667,54.9,"0.1",2.3,2.9,4.9,7.7,10.8,13.9,15.2,14.6,12.2,9.2,5.2,3,8.49166666666667
"99",102,-0.0666666666666667,53.3666666666667,"0.1",2.6,3,5.8,8,11,14.3,16.3,16,13.7,10,6.1,3.9,9.225
"100",103,-0.85,53.3,"0.1",3.2,3.6,6.1,8.4,11.6,14.8,16.5,16.1,13.8,10.2,6.3,4.1,9.55833333333333
"101",104,-0.716666666666667,51.75,"0.1",2.5,3.1,5.7,8.4,12.1,14.9,17,16.3,13.6,10.3,5.9,3.5,9.44166666666667
"102",105,-2.18333333333333,51.1833333333333,"0.1",3.3,3.55,5.4,7.9,11.2,14.45,16.25,15.75,13.35,10,6.2,4.3,9.30416666666667
"103",106,13.5,66,"0.1",-3.875,-3.825,-2,1.025,5.1,9.15,11.45,11.625,7.8,3.975,-0.3,-2.7,3.11875
"104",107,9,61,"0.1",-10.325,-9.425,-5.025,-0.6,5.275,9.825,11.425,10.35,5.925,1.1,-5.125,-8.925,0.372916666666667
"105",108,13.5,66,"0.1",-3.875,-3.825,-2,1.025,5.1,9.15,11.45,11.625,7.8,3.975,-0.3,-2.7,3.11875
"106",109,22.5,70,"0.1",-15.225,-14.275,-10.575,-5.625,0.825,6.975,9.725,7.825,3.1,-3.05,-9.5,-13.55,-3.6125
"107",110,-59.1666666666667,55,"0.1",-15.65,-15.025,-10.325,-4.225,1.525,6.825,11.175,11.025,7.125,1.675,-3.675,-10.55,-1.675
"108",111,-60.1666666666667,55.5,"0.1",-16.3,-15.5,-10.55,-4.325,1.675,6.425,10.625,10.85,7.175,1.775,-3.65,-11.25,-1.92083333333333
"109",112,-65,54,"0.1",-22.425,-20.3,-14,-6.025,2,8.875,12.975,11.45,5.95,-0.95,-8.725,-18.95,-4.17708333333333
"110",113,-61.75,56.5,"0.1",-18.95,-17.7,-12.15,-5.45,0.8,5.8,10.3,9.95,6,0.35,-5.6,-13.6,-3.35416666666667
"111",114,-62,57.5,"0.1",-19.1,-18.075,-13.225,-6.55,-0.15,4.875,9.25,8.925,5.075,-0.375,-6.075,-13.8,-4.10208333333333
"112",115,-65,54,"0.1",-22.425,-20.3,-14,-6.025,2,8.875,12.975,11.45,5.95,-0.95,-8.725,-18.95,-4.17708333333333
"113",116,-62.5,58.0833333333333,"0.1",-19.6,-18.65,-14.2,-7.45,-0.8,4.35,8.7,8.3,4.35,-0.95,-6.55,-14.3,-4.73333333333333
"114",117,-60.75,55.8333333333333,"0.1",-17.45,-16.45,-11.25,-4.85,1.3,6.15,10.45,10.45,6.65,1.1,-4.55,-12.35,-2.56666666666667
"115",118,-67,58,"0.1",-22.775,-21.925,-17,-8.875,-0.325,6.175,10.425,9.6,4.925,-1.05,-7.9,-17.775,-5.54166666666667
"116",119,11.5,52.45,"0.1",-0.05,0.55,3.65,7.95,12.75,16.15,17.75,17.45,13.85,9.2,4.55,1.2,8.75
"117",121,-110.833333333333,43.8333333333333,"0.1",-11.825,-10.2,-7.5,-2.25,3.525,8.175,12.225,11.45,6.75,1.275,-5.95,-11.175,-0.458333333333333
"118",122,-3.13333333333333,57.4166666666667,"0.1",1.2,1,3.3,5,8,11.4,12.8,12.5,10.3,7.6,3.8,2.1,6.58333333333333
"119",123,-2.58333333333333,51.75,"0.1",3.5,3.7,5.5,8.2,11.3,14.5,16.1,15.7,13.3,10,6.3,4.4,9.375
"120",125,-3.13333333333333,57.4166666666667,"0.1",1.2,1,3.3,5,8,11.4,12.8,12.5,10.3,7.6,3.8,2.1,6.58333333333333
"121",126,-1.5,54,"0.1",3.225,3.35,5.375,7.725,10.825,14.025,15.55,15.3,13.15,10,6.025,4,9.04583333333333
"122",127,1.33333333333333,52.75,"0.1",3.55,4.35,6.4,9.05,12,15.5,17.25,17.2,15.3,11.15,7.2,4.9,10.3208333333333
"123",128,1.33333333333333,52.75,"0.1",3.55,4.35,6.4,9.05,12,15.5,17.25,17.2,15.3,11.15,7.2,4.9,10.3208333333333
"124",129,-0.166666666666667,51.8333333333333,"0.1",3.25,3.65,6.125,8.675,12.025,15.2,17.1,16.6,14.325,10.65,6.6,4.175,9.86458333333333
"125",130,-1.5,54,"0.1",3.225,3.35,5.375,7.725,10.825,14.025,15.55,15.3,13.15,10,6.025,4,9.04583333333333
"126",131,-3.5,56.3333333333333,"0.1",1.75,2,4.35,6.65,9.65,13.15,14.4,14,11.35,8.45,4.625,2.75,7.76041666666667
"127",132,1.33333333333333,52.1666666666667,"0.1",3.15,3.75,5.8,8.15,11.425,14.6,16.375,16.35,14.45,11.175,7.1,4.775,9.75833333333333
"128",133,-5.08333333333333,55.75,"0.1",2.9,3,5.1,7.1,10.5,13.6,14.4,14.2,11.7,8.9,5.5,3.9,8.4
"129",134,-3,54.6666666666667,"0.1",1.25,1.675,3.675,6.25,9.4,12.5,13.925,13.4,11.075,8.15,4.15,2.025,7.28958333333333
"130",135,-2.08333333333333,57.1666666666667,"0.1",2.7,2.95,4.8,6.65,9.25,12.3,13.85,13.65,11.75,8.95,5.35,3.8,8
"131",136,-4.41666666666667,55.6666666666667,"0.1",2.15,2.3,4.4,6.55,9.95,12.9,13.9,13.65,11.2,8.6,4.7,3.05,7.77916666666667
"132",137,-0.166666666666667,51,"0.1",3.525,3.95,5.85,8.425,11.7,14.875,16.725,16.375,13.975,10.75,6.7,4.475,9.77708333333333
"133",138,-3.5,56.3333333333333,"0.1",1.75,2,4.35,6.65,9.65,13.15,14.4,14,11.35,8.45,4.625,2.75,7.76041666666667
"134",139,-1.58333333333333,50.8333333333333,"0.1",4.25,4.5,6.3,8.8,11.95,15.1,16.95,16.6,14.3,11.1,7.25,5.3,10.2
"135",140,-97,27.8333333333333,"0.1",13,14.8,18.4,22.0333333333333,25.2666666666667,27.8666666666667,28.8666666666667,28.8666666666667,27.3333333333333,23.5333333333333,18.9333333333333,14.7,21.9666666666667
"136",141,-110.283333333333,44.5,"0.1",-11.9,-10.3,-7.45,-2.55,3,7.65,11.65,11.05,6.35,1.2,-6,-10.65,-0.6625
"137",142,-73.2,41.7,"0.1",-5.3,-4.2,0.9,7,13.1,17.7,20.4,19.5,15.4,9.6,4.1,-2.6,7.96666666666667
"138",145,-85.0833333333333,56.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139",146,-109.166666666667,31.8333333333333,"0.1",4.5,6.3,8.775,12.725,16.95,21.675,22.875,21.55,19.175,14.225,8.55,4.875,13.5145833333333
"140",148,-2.5,51.5,"0.1",3.6,3.9,5.625,8.225,11.45,14.675,16.4,15.925,13.475,10.15,6.375,4.55,9.52916666666667
"141",149,-2.5,53.5,"0.1",3.475,3.625,5.75,8,11.4,14.475,15.9,15.6,13.375,10.1,6.4,4.475,9.38125
"142",150,21.8,54.6,"0.1",-5,-4.1,0.8,7.2,12.7,15.9,17.4,17,13.1,8.3,2.5,-2.2,6.96666666666667
"143",151,8.21666666666667,53.1333333333333,"0.1",0.8,0.9,3.9,7.7,12,15.4,16.6,16.4,13.8,9.8,5.1,2.3,8.725
"144",152,-92.5,46.75,"0.1",-13.95,-10.6,-4.1,3.95,10.5,15.55,18.75,17.6,12.45,6.55,-2.3,-10.6,3.65
"145",153,1.08333333333333,51.6333333333333,"0.5",3.46666666666667,3.93333333333333,6.02962962962963,8.4037037037037,11.5814814814815,14.8666666666667,16.8333333333333,16.7074074074074,14.6222222222222,11.0851851851852,7.08148148148148,4.68888888888889,9.94166666666667
"146",154,140,65,"0.1",-46.725,-43.175,-32.65,-17.65,-2.875,7,9.6,6.65,-0.95,-17.375,-36.875,-45,-18.3354166666667
"147",156,-4.66666666666667,51.1666666666667,"0.1",4.9,5.2,6.6,8.85,11.95,14.85,16.45,16.7,14.6,11.85,7.95,5.85,10.4791666666667
"148",157,-5.33333333333333,51.6666666666667,"0.1",4.3,4.5,5.8,8.4,10.9,14.6,16.4,16.3,13.5,10.7,7.3,5.5,9.85
"149",158,-10.5,51.75,"0.1",6.7,6.7,7.5,8.6,10.7,13,14.6,14.7,13.3,11.4,8.6,7.4,10.2666666666667
"150",159,-10.3333333333333,51.5,"0.1",7,6.9,7.8,9,11,13.4,15,15.1,13.7,11.7,8.9,7.7,10.6
"151",160,-2.63333333333333,56.0833333333333,"0.1",2.5,2.6,5.2,7.6,10.2,13.5,14.8,14.2,12,9.1,5.5,3.6,8.4
"152",161,-5.13333333333333,55.25,"0.1",3.2,3.1,5.2,7.2,10.5,13.6,14.4,14.3,11.9,9.2,5.7,4.3,8.55
"153",162,-8.5,57.8333333333333,"0.1",3.95,3.65,4.8,6.5,9,11.55,12.65,12.7,10.75,8.8,5.8,4.4,7.87916666666667
"154",163,-6.25,59.1666666666667,"0.5",4.4,4.3,5,6.3,8.9,11.5,12.6,13,11.2,9.2,6,4.9,8.10833333333333
"155",164,-4.5,59,"0.5",3.51666666666667,3.21666666666667,4.61666666666667,5.83333333333333,8.91666666666667,11.95,13.0833333333333,13.3833333333333,11.15,8.71666666666667,5.61666666666667,4.16666666666667,7.84722222222222
"156",165,-7.58333333333333,62.0833333333333,"0.1",3,2.8,3.3,4.6,6.7,8.9,10.2,10.5,8.9,7.1,4.4,3.2,6.13333333333333
"157",166,-20.1666666666667,63.4166666666667,"0.1",1.8,2.1,2.1,3.9,6.5,8.7,10.3,10.3,8.1,5.4,2.9,1.9,5.33333333333333
"158",167,-22.9666666666667,63.7333333333333,"0.5",0.35,0.616666666666667,1.1,3.25,6.46666666666667,9.01666666666667,10.8,10.5166666666667,7.98333333333333,5.1,2.21666666666667,0.65,4.83888888888889
"159",168,-18,66.55,"0.1",-1.7,-1.55,-1.8,-0.2,2.85,5.8,7.5,7.6,5.55,3.1,0.35,-1.25,2.1875
"160",169,-61.0833333333333,47.8333333333333,"0.5",-6.025,-6.925,-3.375,1.3,6.2,11.7,16.525,16.625,12.675,7.35,2.75,-2.625,4.68125
"161",170,-64.1666666666667,48.5,"0.1",-10.125,-9.25,-4.55,1.025,7.15,12.725,16.75,15.925,11.4,5.9,0.55,-6.525,3.41458333333333
"162",171,-54.25,46.8333333333333,"0.1",-2.45,-3.05,-1.15,2.4,5.7,9.3,13.5,15.05,12.35,8.05,4.3,0,5.33333333333333
"163",172,-4.91666666666667,55.75,"0.1",2.7,2.8,4.8,7,10.4,13.4,14.3,14.1,11.5,8.8,5.2,3.6,8.21666666666667
"164",173,-1.25,60.25,"0.1",3,2.8,3.6,4.9,7.5,9.9,11.3,11.6,9.8,7.8,4.9,3.7,6.73333333333333
"165",174,-7,58,"0.1",3.125,2.875,4.1,5.775,8.55,11.225,12.4,12.275,10.3,8.125,4.9,3.775,7.28541666666667
"166",175,-94,58,"0.1",-27.675,-25.3,-19.35,-8.875,0,7.275,12.625,11.75,5.55,-1.55,-12.85,-23,-6.78333333333333
"167",176,9.83333333333333,46.5833333333333,"0.1",-7.05,-7.1,-5.35,-2.75,1.55,4.95,7.35,7.05,5.2,1.9,-2.95,-5.7,-0.241666666666667
"168",177,7.5,48.5,"0.1",0.625,1.975,5.45,9.15,13.2,16.5,18.55,18.05,15.1,10.125,4.925,1.7,9.6125
"169",178,-1.16666666666667,52.75,"0.1",2.8,3.4,5.95,8.45,11.85,14.95,16.8,16.25,13.75,10.1,5.95,3.95,9.51666666666667
